det_id	kpt_id	x	y	visibility
det_0	0	119.3203125	293.046875	0.7980294227600098
det_0	1	144.1591796875	268.88671875	0.8936814069747925
det_0	2	97.4453125	269.4921875	0.8360199332237244
det_0	3	181.703125	285.0	0.4153729975223541
det_0	4	79.671875	288.125	0.12064620852470398
det_0	5	186.15625	329.453125	0.06255704164505005
det_0	6	88.578125	337.03125	0.08914017677307129
det_0	7	175.765625	293.7890625	0.011115282773971558
det_0	8	132.572265625	311.171875	0.03308582305908203
det_0	9	148.578125	244.560546875	0.24926459789276123
det_0	10	130.609375	278.515625	0.39443427324295044
det_0	11	159.33984375	192.34375	0.0029237568378448486
det_0	12	95.765625	192.5	0.004485577344894409
det_0	13	171.3515625	149.375	0.02605646848678589
det_0	14	103.79296875	148.828125	0.04023560881614685
det_0	15	141.82763671875	107.34375	0.14247283339500427
det_0	16	120.62890625	110.625	0.1831551194190979
